vendor_canonical,error_code_raw,readings,affected_units,first_seen,last_seen,reporting_units,affected_unit_pct
A,E-211,143,46,2026-06-01,2026-07-30,97,47.4
A,E-317,56,46,2026-06-01,2026-07-29,97,47.4
A,E-104,51,38,2026-06-02,2026-07-27,97,39.2
A,E-505,47,33,2026-06-01,2026-07-30,97,34.0
B,6021,2475,98,2026-06-01,2026-07-30,98,100.0
B,3104,116,47,2026-06-01,2026-07-30,98,48.0
B,7702,61,50,2026-06-02,2026-07-30,98,51.0
B,1188,45,39,2026-06-02,2026-07-28,98,39.8
C,ALM_HP_LOWFLOW,56,4,2026-07-17,2026-07-30,78,5.1
C,ALM_SM_LINK,53,39,2026-06-01,2026-07-30,78,50.0
C,ALM_HP_HP_SWITCH,44,33,2026-06-02,2026-07-28,78,42.3
