vendor_canonical,unit_id,error_code_raw,days_with_code,first_seen,last_seen
B,TH-02279,6021,36,2026-06-01,2026-07-28
B,TH-02231,6021,35,2026-06-01,2026-07-30
B,TH-02262,6021,33,2026-06-01,2026-07-30
B,TH-02270,6021,33,2026-06-03,2026-07-30
B,TH-02248,6021,32,2026-06-01,2026-07-30
B,TH-02223,6021,32,2026-06-01,2026-07-30
B,TH-02162,6021,32,2026-06-02,2026-07-28
B,TH-02272,6021,32,2026-06-05,2026-07-29
B,TH-02267,6021,32,2026-06-01,2026-07-29
B,TH-02258,6021,31,2026-06-03,2026-07-30
B,TH-02247,6021,31,2026-06-01,2026-07-29
B,TH-02169,6021,31,2026-06-01,2026-07-29
B,TH-02277,6021,30,2026-06-04,2026-07-30
B,TH-02255,6021,30,2026-06-04,2026-07-30
B,TH-02155,6021,30,2026-06-01,2026-07-29
B,TH-02158,6021,30,2026-06-01,2026-07-30
B,TH-02141,6021,29,2026-06-01,2026-07-30
B,TH-02146,6021,29,2026-06-02,2026-07-28
B,TH-02240,6021,29,2026-06-03,2026-07-30
B,TH-02159,6021,29,2026-06-01,2026-07-29
B,TH-02184,6021,29,2026-06-02,2026-07-29
B,TH-02283,6021,29,2026-06-01,2026-07-29
B,TH-02178,6021,28,2026-06-04,2026-07-29
B,TH-02214,6021,28,2026-06-02,2026-07-30
B,TH-02185,6021,28,2026-06-03,2026-07-23
B,TH-02168,6021,28,2026-06-02,2026-07-27
B,TH-02171,6021,28,2026-06-02,2026-07-27
B,TH-02206,6021,27,2026-06-05,2026-07-30
B,TH-02192,6021,27,2026-06-06,2026-07-30
B,TH-02230,6021,27,2026-06-01,2026-07-30
B,TH-02251,6021,27,2026-06-03,2026-07-30
B,TH-02188,6021,27,2026-06-01,2026-07-30
B,TH-02249,6021,27,2026-06-01,2026-07-30
B,TH-02285,6021,27,2026-06-02,2026-07-30
B,TH-02278,6021,27,2026-06-01,2026-07-29
B,TH-02269,6021,27,2026-06-03,2026-07-28
B,TH-02166,6021,27,2026-06-03,2026-07-30
B,TH-02242,6021,27,2026-06-04,2026-07-30
B,TH-02175,6021,27,2026-06-01,2026-07-30
B,TH-02239,6021,27,2026-06-01,2026-07-30
B,TH-02287,6021,26,2026-06-01,2026-07-29
B,TH-02273,6021,26,2026-06-03,2026-07-29
B,TH-02275,6021,26,2026-06-06,2026-07-27
B,TH-02181,6021,26,2026-06-02,2026-07-30
B,TH-02238,6021,25,2026-06-01,2026-07-30
B,TH-02280,6021,25,2026-06-01,2026-07-20
B,TH-02243,6021,25,2026-06-04,2026-07-30
B,TH-02286,6021,25,2026-06-01,2026-07-30
